CZAS;Bochnia poz. dop.: 50 ;Brzeszcze, ul. Koscielna poz. dop.: 50 ;Gorlice poz. dop.: 50 ;Krakow-Kurdwanow poz. dop.: 50 ;Krakow, os. Piastow poz. dop.: 50 ;Krakow, os. Wadow poz. dop.: 50 ;Krakow, ul. Telimeny poz. dop.: 50 ;Krakow, ul. Zloty Rog poz. dop.: 50 ;Muszyna, ul. A. Kity 17 poz. dop.: 50 ;Niepolomice poz. dop.: 50 ;Nowa Huta poz. dop.: 50 ;Nowy Sacz poz. dop.: 50 ;Nowy Targ, Pl. Slowackiego poz. dop.: 50 ;Rabka-Zdroj poz. dop.: 50 ;Tarnow poz. dop.: 50 ;Trzebinia poz. dop.: 50 ;Tuchow poz. dop.: 50 ;Zakopane poz. dop.: 50 
1.03;27;-;20;15;18;-;-;22;-;22;23;22;-;-;19;25;27;26
2.03;27;-;22;35;43;-;-;48;-;36;47;36;-;-;25;43;25;39
3.03;31;-;31;34;38;-;-;44;-;34;39;38;-;-;29;38;34;55
4.03;53;-;55;58;55;-;-;62;-;51;49;63;-;-;-;69;66;36
5.03;35;-;38;47;56;-;-;59;-;43;70;34;-;-;-;46;43;19
6.03;28;-;23;28;38;-;-;35;-;28;31;36;-;-;-;30;28;17
7.03;39;-;23;51;53;-;-;56;-;50;62;52;-;-;-;55;48;34
8.03;47;-;26;48;41;-;-;44;-;44;39;44;-;-;-;60;56;40
9.03;49;-;37;52;55;-;-;60;-;50;59;44;-;-;36;49;49;38
10.03;27;-;26;25;25;-;-;30;-;30;30;29;-;-;-;25;39;22
11.03;49;-;38;33;33;-;-;34;-;38;35;39;-;-;38;23;59;35
12.03;33;-;26;19;21;-;-;21;-;31;25;32;-;-;26;15;54;32
13.03;30;-;24;-;25;-;-;28;-;26;24;27;-;-;17;23;33;18
14.03;43;-;30;-;32;-;-;36;-;38;32;54;-;-;29;27;44;25
15.03;28;-;27;23;24;-;-;28;-;29;34;27;-;-;24;18;36;21
16.03;55;-;44;56;51;-;-;67;-;56;85;57;-;-;50;25;67;36
17.03;71;-;75;97;106;-;-;124;-;107;-;92;-;-;77;121;116;39
18.03;52;-;63;76;73;-;-;83;-;78;-;59;-;-;51;74;51;33
19.03;19;-;24;29;24;-;-;31;-;23;-;42;-;-;19;-;37;24
20.03;40;-;37;52;52;-;-;57;-;48;-;67;-;-;36;59;37;-
21.03;34;-;36;37;38;-;-;41;-;36;-;47;-;-;38;44;45;29
22.03;36;-;65;32;28;-;-;32;-;31;32;45;-;-;27;41;30;24
23.03;61;-;70;58;54;-;-;57;-;59;52;60;62;-;31;58;68;29
24.03;52;-;60;46;38;-;-;46;-;45;49;63;62;-;52;27;83;30
25.03;52;-;34;74;73;-;-;88;-;79;84;75;60;-;66;76;119;34
26.03;60;-;33;57;56;-;-;58;-;57;48;63;30;-;48;55;77;42
27.03;35;-;20;49;42;-;-;50;-;48;45;53;81;-;33;35;52;35
28.03;21;-;26;36;36;-;-;41;-;34;37;37;35;-;19;26;43;32
