time,sn_day_avg,sn_day_max,sn_day_min,sm_day_avg,sm_day_max,sm_day_min,sx_day_avg,sx_day_max,sx_day_min,dn_day_avg,dn_day_max,dn_day_min,dm_day_avg,dm_day_max,dm_day_min,dx_day_avg,dx_day_max,dx_day_min,ta_day_avg,ta_day_max,ta_day_min,pa_day_avg,pa_day_max,pa_day_min,tp_day_avg,tp_day_max,tp_day_min,ua_day_avg,ua_day_max,ua_day_min,rc_day_avg,rc_day_max,rc_day_min,rd_day_avg,rd_day_max,rd_day_min,ri_day_avg,ri_day_max,ri_day_min,rp_day_avg,rp_day_max,rp_day_min,
2016-03-01 00:00:00+01,0.95,4.40,0.00,2.65,6.40,0.50,4.33,9.70,1.10,218.33,359.00,0.00,190.50,359.00,0.00,176.33,359.00,0.00,2.49,4.90,0.00,982.98,985.30,981.20,3.31,5.00,1.30,81.60,85.70,78.40,4.54,5.88,0.00,19476.88,26130.00,0.00,0.23,2.90,0.00,2.95,4.30,0.00,
2016-03-02 00:00:00+01,0.74,3.90,0.00,1.96,6.50,0.10,3.06,9.70,0.30,186.12,358.00,1.00,226.08,357.00,1.00,236.38,359.00,0.00,3.59,8.20,-0.40,980.14,984.40,975.80,4.47,8.90,1.10,65.65,80.60,46.30,0.25,5.88,0.00,1125.67,26130.00,0.00,0.00,0.00,0.00,0.14,3.30,0.00,
2016-03-03 00:00:00+01,0.53,2.90,0.00,1.59,4.30,0.20,2.64,5.80,0.60,161.92,359.00,0.00,60.17,358.00,3.00,116.04,287.00,20.00,5.70,8.20,4.20,975.20,976.00,974.30,6.04,8.90,4.50,65.53,74.40,58.30,0.12,0.19,0.00,1329.96,2020.00,0.00,0.01,0.80,0.00,0.54,0.80,0.00,
2016-03-04 00:00:00+01,0.45,2.20,0.00,1.27,3.30,0.20,2.09,5.10,0.50,177.62,359.00,0.00,141.21,359.00,0.00,139.00,359.00,0.00,5.31,7.00,4.10,977.63,978.70,975.60,5.67,7.50,4.50,66.97,73.60,56.90,0.01,0.19,0.00,85.58,2020.00,0.00,0.00,0.00,0.00,0.03,0.80,0.00,
2016-03-05 00:00:00+01,0.52,2.80,0.00,1.68,4.10,0.10,2.88,6.50,0.40,144.46,359.00,0.00,99.83,359.00,15.00,158.67,356.00,3.00,5.78,11.20,1.00,975.19,977.70,973.30,6.37,11.60,2.40,63.97,81.10,37.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
2016-03-06 00:00:00+01,0.68,4.10,0.00,2.06,6.50,0.10,3.40,11.90,0.30,169.46,359.00,0.00,186.17,358.00,1.00,203.38,359.00,0.00,8.09,12.50,3.70,973.62,977.80,971.00,8.33,12.90,4.30,56.01,73.00,41.20,0.00,0.01,0.00,13.67,40.00,0.00,0.00,0.40,0.00,0.24,0.70,0.00,
2016-03-07 00:00:00+01,0.56,2.70,0.00,1.62,4.00,0.10,2.65,6.00,0.30,188.00,359.00,0.00,90.83,359.00,0.00,118.58,359.00,0.00,5.24,7.60,2.00,977.44,978.50,976.40,5.65,7.90,3.10,73.11,77.10,68.10,0.13,0.25,0.00,1306.50,2550.00,0.00,0.01,0.90,0.00,0.52,0.90,0.00,
2016-03-08 00:00:00+01,0.39,2.30,0.00,1.13,3.00,0.10,1.89,4.70,0.40,215.04,359.00,0.00,217.96,359.00,0.00,154.04,359.00,0.00,6.40,8.90,4.40,983.22,988.40,978.20,6.73,9.80,4.60,66.68,78.90,53.10,0.02,0.25,0.00,305.46,2550.00,0.00,0.01,0.60,0.00,0.12,0.90,0.00,
2016-03-09 00:00:00+01,0.49,3.20,0.00,1.70,5.60,0.10,2.97,10.70,0.20,173.96,359.00,0.00,151.96,356.00,1.00,174.92,359.00,0.00,5.79,8.50,3.50,988.00,989.40,986.60,6.06,9.00,4.00,72.85,82.10,59.80,0.01,0.16,0.00,82.17,1940.00,0.00,0.00,0.00,0.00,0.03,0.80,0.00,
2016-03-10 00:00:00+01,0.77,4.10,0.00,2.24,9.10,0.30,4.00,16.30,0.60,224.71,359.00,0.00,61.21,359.00,0.00,106.42,259.00,16.00,5.09,5.90,4.70,989.29,992.00,986.60,5.24,5.90,4.80,80.16,83.70,70.80,0.03,0.07,0.00,328.71,770.00,0.00,0.00,0.60,0.00,0.30,0.70,0.00,
2016-03-11 00:00:00+01,1.05,4.60,0.00,2.82,6.30,0.20,4.66,17.10,0.50,265.38,359.00,0.00,189.54,359.00,0.00,70.08,359.00,0.00,6.01,8.10,4.80,993.99,996.40,991.80,6.17,8.40,5.00,81.54,84.40,73.70,0.00,0.07,0.00,40.75,770.00,0.00,0.00,0.30,0.00,0.05,0.70,0.00,
2016-03-12 00:00:00+01,1.13,5.70,0.00,2.60,8.80,0.50,4.11,13.80,1.20,302.08,359.00,0.00,153.33,359.00,0.00,54.25,359.00,0.00,5.37,5.80,5.00,998.24,1000.70,996.20,5.49,6.00,5.10,81.63,84.00,77.90,0.11,0.19,0.00,878.88,1250.00,0.00,0.01,2.10,0.00,1.50,2.10,0.00,
2016-03-13 00:00:00+01,1.06,4.30,0.00,2.67,11.30,0.20,4.31,24.30,0.60,233.21,359.00,0.00,80.08,359.00,0.00,80.08,359.00,0.00,4.11,5.40,3.10,1002.78,1004.90,1000.40,4.56,5.70,3.80,73.41,84.40,59.00,0.21,0.27,0.00,1750.83,2260.00,0.00,0.01,1.10,0.00,1.19,2.10,0.00,
2016-03-14 00:00:00+01,0.50,3.20,0.00,1.51,5.00,0.10,2.56,8.20,0.40,236.12,359.00,0.00,197.17,359.00,0.00,128.54,359.00,0.00,4.17,7.70,0.10,1001.39,1004.80,994.30,5.09,8.80,2.00,55.26,71.60,41.10,0.01,0.27,0.00,95.75,2260.00,0.00,0.00,0.00,0.00,0.05,1.30,0.00,
2016-03-15 00:00:00+01,0.84,11.30,0.00,2.76,14.60,0.30,4.82,27.40,0.70,208.71,359.00,0.00,124.12,359.00,0.00,134.00,359.00,0.00,1.70,3.80,0.60,993.93,999.00,990.80,2.86,4.30,2.00,75.48,82.10,59.20,0.00,0.01,0.00,113.21,290.00,0.00,0.00,0.10,0.00,0.04,0.10,0.00,
2016-03-16 00:00:00+01,0.54,3.40,0.00,1.93,6.10,0.20,3.40,9.10,0.30,191.08,359.00,0.00,111.79,358.00,1.00,150.75,359.00,0.00,2.98,7.80,-0.50,1003.52,1005.20,999.10,4.22,8.90,1.30,58.22,74.50,42.40,0.00,0.01,0.00,12.29,290.00,0.00,0.00,0.00,0.00,0.00,0.10,0.00,
2016-03-17 00:00:00+01,0.61,4.20,0.00,1.64,6.80,0.10,2.59,8.10,0.20,216.17,349.00,1.00,259.08,352.00,5.00,235.92,359.00,0.00,4.07,10.90,-2.00,999.50,1004.40,994.00,5.24,11.40,0.40,59.83,81.50,35.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
2016-03-18 00:00:00+01,0.83,4.70,0.00,2.66,8.60,0.10,4.48,13.40,0.30,219.08,358.00,2.00,259.75,359.00,0.00,214.00,359.00,0.00,5.91,12.10,0.40,987.94,993.80,984.00,6.64,12.70,2.20,56.64,72.80,33.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
2016-03-19 00:00:00+01,0.66,3.80,0.00,1.91,5.70,0.20,3.21,8.90,0.50,232.04,359.00,0.00,202.12,359.00,0.00,145.54,359.00,0.00,2.56,6.10,-0.30,990.64,992.50,987.80,3.71,7.20,1.60,42.89,71.40,28.60,1.38,1.45,0.00,647.00,680.00,0.00,0.06,28.50,0.00,28.66,30.00,0.00,
2016-03-20 00:00:00+01,0.87,4.60,0.00,2.58,7.60,0.10,4.13,10.00,0.40,201.08,351.00,2.00,252.96,354.00,0.00,257.42,359.00,0.00,3.95,6.20,0.80,986.95,989.60,985.50,4.55,6.60,2.40,54.92,61.80,44.00,0.07,1.45,0.00,56.12,680.00,0.00,0.00,0.40,0.00,1.54,30.00,0.00,
2016-03-21 00:00:00+01,0.79,5.00,0.00,2.52,7.50,0.30,4.18,11.00,0.70,206.17,340.00,93.00,262.96,348.00,0.00,241.29,359.00,0.00,5.66,7.80,4.00,984.75,985.90,982.50,5.93,8.40,4.40,59.24,69.80,48.40,0.20,0.50,0.00,680.50,1180.00,0.00,0.02,13.30,0.00,6.33,16.80,0.00,
2016-03-22 00:00:00+01,0.92,4.90,0.00,2.97,6.90,0.20,4.94,12.70,0.50,210.58,336.00,90.00,265.58,355.00,187.00,244.88,359.00,0.00,5.45,7.50,3.60,981.06,982.20,980.00,5.77,8.00,4.10,66.04,79.00,52.90,0.29,0.50,0.00,2545.42,3330.00,0.00,0.01,1.80,0.00,2.16,16.80,0.00,
2016-03-23 00:00:00+01,0.44,2.90,0.00,1.38,4.40,0.10,2.34,6.70,0.30,172.58,359.00,0.00,123.04,359.00,1.00,144.08,359.00,2.00,4.55,6.50,1.40,980.29,981.90,978.60,5.04,7.50,2.70,66.27,80.90,49.80,0.66,0.88,0.00,3491.38,4650.00,0.00,0.03,2.50,0.00,2.29,2.90,0.00,
2016-03-24 00:00:00+01,0.72,4.70,0.00,1.89,6.60,0.20,3.10,9.70,0.40,236.08,359.00,0.00,117.75,359.00,0.00,95.88,359.00,0.00,3.55,8.20,-0.10,983.30,987.70,978.80,4.67,9.10,1.80,47.48,64.00,29.70,0.04,0.88,0.00,197.00,4650.00,0.00,0.00,0.00,0.00,0.12,2.90,0.00,
2016-03-25 00:00:00+01,0.39,2.30,0.00,1.10,4.00,0.10,1.78,7.00,0.20,192.71,358.00,3.00,240.42,359.00,2.00,230.29,359.00,0.00,5.40,9.30,0.10,986.87,988.00,985.20,6.23,10.20,1.80,53.03,71.30,34.80,0.00,0.01,0.00,36.54,380.00,0.00,0.00,0.10,0.00,0.02,0.20,0.00,
2016-03-26 00:00:00+01,0.49,3.60,0.00,1.41,6.70,0.10,2.30,10.60,0.20,197.96,358.00,2.00,234.38,358.00,0.00,222.08,359.00,0.00,6.35,7.70,5.00,989.16,991.40,986.90,6.49,8.10,5.10,73.08,78.60,64.40,0.70,1.69,0.00,1010.42,2440.00,0.00,0.07,50.00,0.00,24.29,57.80,0.00,
2016-03-27 00:00:00+01,0.41,2.60,0.00,1.42,5.30,0.10,2.52,7.30,0.30,154.40,359.00,0.00,112.95,359.00,1.00,162.40,356.00,0.00,7.18,11.80,4.00,989.28,991.50,987.30,7.45,12.80,4.50,62.31,80.60,38.40,0.09,1.69,0.00,124.05,2440.00,0.00,0.00,0.00,0.00,2.94,57.80,0.00,
2016-03-28 01:00:00+02,0.35,2.50,0.00,1.03,4.60,0.10,1.70,6.20,0.20,182.83,357.00,1.00,223.38,358.00,0.00,221.17,359.00,0.00,8.81,15.70,0.80,984.62,987.60,981.40,9.65,17.10,2.40,48.71,75.20,25.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
2016-03-29 01:00:00+02,0.92,7.20,0.00,2.96,11.00,0.10,4.89,16.10,0.20,214.67,359.00,2.00,250.46,359.00,1.00,233.12,359.00,0.00,10.26,15.60,5.30,982.29,986.60,980.00,10.48,16.20,5.40,46.44,72.90,26.00,0.11,0.17,0.00,350.42,590.00,0.00,0.01,2.10,0.00,1.97,2.70,0.00,
2016-03-30 01:00:00+02,0.62,4.10,0.00,1.93,8.00,0.10,3.18,11.60,0.20,202.33,359.00,0.00,238.50,359.00,0.00,221.88,359.00,0.00,10.73,16.90,3.40,986.61,987.80,985.30,11.10,17.50,4.10,51.30,78.20,26.80,0.01,0.17,0.00,113.88,590.00,0.00,0.00,0.60,0.00,0.17,2.70,0.00,
